,id_anonimo,Site da Disciplina,Unnamed: 3,Plano de Ensino,Unnamed: 5,Livro Texto,Unnamed: 7,Thonny,Unnamed: 9,OpCoders - Corretor Automático,Unnamed: 11,Frequência,Unnamed: 13,Notas,Unnamed: 15,Jogo em Python,Unnamed: 17,Corretor Automático - Prática 2_3,Unnamed: 19,Questões,Unnamed: 21,Respostas,Unnamed: 23,Exercícios,Unnamed: 25,Respostas.1,Unnamed: 27,Entrega exercicios,Unnamed: 29,Simulado,Unnamed: 31,Solução Ex 3,Unnamed: 33
0,2ba5f5c185e51fa64dc8017d6c9e99ea,Concluído,2024-11-25 10:02:48,Concluído,2024-11-25 10:02:49,Concluído,2024-11-25 10:02:50,Concluído,2024-11-25 10:02:50,Concluído,2024-11-25 10:02:52,Concluído,2024-11-25 10:06:49,Não concluído,,Concluído,2024-11-25 10:09:47,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
1,8d288e2de573baf70ac62d62c1ea8ffc,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
2,b8e754b08b836eed515bce9100640801,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2024-11-11 16:08:46,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-27 10:17:48,Não concluído,,Não concluído,
3,80fdaea34a8d7b89f41608aa714f15fa,Concluído,2025-04-10 20:37:19,Concluído,2025-04-10 20:37:21,Não concluído,2025-02-19 13:47:15,Não concluído,2025-02-19 13:47:14,Não concluído,2025-02-19 13:47:13,Não concluído,2024-12-02 14:14:10,Não concluído,2025-01-24 13:41:08,Não concluído,,Não concluído,,Não concluído,,Não concluído,2025-03-10 17:40:42,Não concluído,,Não concluído,,Concluído,2025-03-10 17:01:04,Não concluído,,Não concluído,
4,49db1de9211d1eb0bdee131bafca31b3,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-29 12:31:23,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
5,ed5cd5b0340c48d6daaa3477ad413f34,Concluído,2025-03-10 15:42:37,Concluído,2025-03-10 15:42:34,Concluído,2025-03-10 15:42:32,Concluído,2025-03-10 15:42:31,Concluído,2025-03-10 15:42:30,Concluído,2025-02-17 09:46:23,Concluído,2025-03-10 15:42:28,Não concluído,,Não concluído,,Concluído,2025-03-31 16:17:58,Concluído,2025-03-31 16:17:58,Concluído,2025-03-10 15:42:59,Não concluído,,Não concluído,,Não concluído,,Não concluído,
6,acb6a16ca67bdc55ef4664c29399ff56,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
7,39cfa0071fd2f370f9fd2235d9c4c9d5,Não concluído,,Não concluído,2025-02-20 00:56:30,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 17:05:04,Não concluído,,Não concluído,
8,8a0b287b4e8bac13a82d3772bbdc31eb,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-12 15:38:19,Não concluído,2024-11-11 16:22:49,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
9,44c763a48cf4f7b7e9f3343e0d1cca08,Concluído,2024-11-14 14:16:05,Concluído,2024-11-13 15:01:16,Concluído,2024-11-14 14:18:00,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2025-03-12 13:21:27,Não concluído,,Concluído,2025-03-10 17:09:19,Não concluído,,Não concluído,
