,id_anonimo,Boas vindas!!!,Unnamed: 3,Plano de ensino (unificado),Unnamed: 5,Cronograma detalhado,Unnamed: 7,Diário de classe,Unnamed: 9,Lançamento de notas e frequência no sistema acadêmico,Unnamed: 11,Cálculo de notas para Exame Especial,Unnamed: 13,Escolha para o EXAME ESPECIAL,Unnamed: 15,Página da disciplina,Unnamed: 17,Agenda do Professor,Unnamed: 19,"Atendimentos: Extraclase, Monitoria e Tutoria",Unnamed: 21,opCoders Judge (Corretor automático de exercícios práticos),Unnamed: 23,Informações sobre recursos didáticos,Unnamed: 25,Material Didático Unificado,Unnamed: 27,Conteúdo teórico (livro texto),Unnamed: 29,Resumo para a Prova Teórica 1 (PT1),Unnamed: 31,Resumo para a Prova Teórica 1 (PT2),Unnamed: 33,Bibliografia básica,Unnamed: 35,[T] Apresentação da disciplina,Unnamed: 37,Material complementar - Videoaula: Apresentação da disciplina (29 min),Unnamed: 39,[T] Cap. 1 - Introdução,Unnamed: 41,Material complementar - Videoaula: Introdução (37 min),Unnamed: 43,[AP-1.1] Ambiente de programação,Unnamed: 45,[T] Caps. 2 e 3 -Conceitos básicos,Unnamed: 47,Material complementar - Videoaula: Conceitos básicos (120 min),Unnamed: 49,[AP-1.2] Conhecendo o corretor automático,Unnamed: 51,"[AP-2_3] Variáveis, expressões, entrada e saída",Unnamed: 53,[T] Estruturas de Decisão,Unnamed: 55,Material complementar - Videoaula: Estruturas de Decisão (87 min),Unnamed: 57,[AP-4.1] Estruturas de Decisão Simples,Unnamed: 59,[AP-4.2] Estruturas de Decisão Aninhadas,Unnamed: 61,[T] Estrutura de Repetição: WHILE,Unnamed: 63,Material complementar - Videoaula: Estrutura de Repetição: WHILE (79 min),Unnamed: 65,Questionário estrutura WHILE,Unnamed: 67,[AP-5.1] Estrutura de Repetição: WHILE,Unnamed: 69,[T] Estrutura de Repetição: FOR,Unnamed: 71,Material complementar - Videoaula: Estrutura de Repetição: FOR (69 min),Unnamed: 73,[AP-5.2] Estrutura de Repetição: FOR,Unnamed: 75,[T] Estrutura de Repetição - Laços Aninhados,Unnamed: 77,Material complementar - Videoaula: Estrutura de Repetição: Laços Aninhados (46 min),Unnamed: 79,[AP-5.3] Estrutura de Repetição - Laços Aninhados,Unnamed: 81,[T] Implementação de Funções,Unnamed: 83,Material complementar - Videoaula: Implementação de Funções (57 min),Unnamed: 85,[AP-6.1] Implementação de Funções,Unnamed: 87,[AP-6.2] Implementação de Funções,Unnamed: 89,Biblioteca padrão para Vetores e Matrizes,Unnamed: 91,[T] Estruturas Homogêneas: VETOR,Unnamed: 93,Material complementar - Videoaula: Estruturas Homogêneas: VETOR (100 min),Unnamed: 95,[AP-7.1] Estrutura Homogênea - VETOR,Unnamed: 97,[AP-7.2] Estrutura Homogênea - VETOR,Unnamed: 99,[T] Estruturas Homogêneas: MATRIZ,Unnamed: 101,Material complementar - Videoaula: Estruturas Homogêneas: MATRIZ (61 min),Unnamed: 103,[AP-7.3] Estrutura Homogênea - MATRIZ,Unnamed: 105,[AP-7.4] Estrutura Homogênea - MATRIZ,Unnamed: 107,[T] Estruturas Heterogêneas: REGISTRO,Unnamed: 109,Material complementar - Videoaula: Estruturas Heterogêneas: REGISTRO (25 min),Unnamed: 111,[AP-8] Estruturas Heterogêneas - REGISTRO,Unnamed: 113,Unnamed: 114,Unnamed: 115
25,b8da2ab4fca6f0ac4b6e500fb3b60d8b,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 18:34:45,Não concluído,,Concluído,2024-12-11 11:54:57,Não concluído,,Concluído,2025-04-04 20:46:24,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
27,7391cca70389bbcf14350d0de2c1af53,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
28,4261daf02094ed894b73e652dc3808dd,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
30,b095d481ee999b9ea64095b3f5f6c777,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-15 12:25:15,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-29 13:34:26,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
31,da543c8b53d5691929425fa19b5e0e91,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2024-11-28 15:28:17,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 15:50:12,Concluído,2024-12-19 15:16:57,Não concluído,,Concluído,2024-12-19 15:17:27,Concluído,2025-02-04 19:55:49,Concluído,2025-02-04 19:48:25,Concluído,2025-02-04 19:44:47,Não concluído,,Concluído,2025-02-16 14:49:19,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
32,f569277b84079529115f77daeca35675,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
33,002e62ce43c4be181c013ea38b664e48,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 20:17:38,Concluído,2024-12-10 20:22:04,Concluído,2025-01-03 15:46:49,Concluído,2024-12-10 20:22:25,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
34,93cfc6a3e1dab471d1702a61391b7a2b,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
35,3ab2130cb5b747fc04a35cdb6032e9c8,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-07 11:46:45,Concluído,2024-12-07 11:46:57,Não concluído,,Concluído,2024-12-07 11:47:49,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
36,f2b686eee45ef20d512bdd5975dd12c8,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-14 13:20:06,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
37,fbfca27cbd005fee8113e841bfd2fe57,Não concluído,,Concluído,2025-03-20 12:44:21,Não concluído,,Concluído,2025-03-20 12:44:24,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-19 11:55:14,Concluído,2024-12-12 10:32:05,Concluído,2025-02-04 15:11:29,Concluído,2024-12-19 11:55:34,Concluído,2025-02-04 15:12:43,Concluído,2025-02-04 15:12:39,Concluído,2025-02-04 15:12:37,Concluído,2025-02-04 15:12:35,Concluído,2025-02-04 15:12:32,Concluído,2025-02-04 15:12:26,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
38,befc12beccc4fefee35f622ff5eebcef,Concluído,2024-12-03 21:46:55,Concluído,2024-12-03 20:51:44,Concluído,2024-12-03 20:51:45,Concluído,2024-12-03 20:51:46,Não concluído,,Concluído,2024-12-03 20:51:49,Concluído,2024-12-03 20:51:48,Concluído,2024-12-03 20:51:51,Concluído,2024-12-03 20:51:52,Concluído,2024-12-03 20:51:53,Concluído,2024-12-03 20:51:54,Concluído,2024-12-03 20:51:56,Concluído,2024-12-03 21:46:41,Concluído,2024-12-03 21:46:44,Concluído,2025-03-27 20:24:37,Concluído,2025-03-27 20:24:37,Concluído,2024-12-03 21:46:49,Concluído,2024-12-03 21:46:51,Concluído,2024-12-03 21:47:03,Concluído,2024-11-17 06:34:32,Concluído,2024-11-17 06:34:34,Concluído,2024-11-17 06:34:44,Concluído,2024-11-17 06:34:42,Concluído,2024-12-03 21:47:05,Concluído,2024-12-03 21:47:06,Concluído,2024-12-03 21:47:06,Concluído,2024-12-03 21:47:07,Concluído,2024-12-03 21:47:16,Concluído,2024-12-03 21:47:16,Concluído,2024-12-03 21:47:17,Concluído,2024-12-03 21:47:18,Concluído,2024-12-10 08:36:42,Concluído,2024-12-10 08:02:46,Concluído,2024-12-10 09:26:33,Concluído,2024-12-10 08:36:57,Concluído,2024-12-16 20:27:48,Concluído,2024-12-16 20:27:43,Concluído,2024-12-16 20:27:56,Concluído,2025-02-03 11:34:17,Concluído,2025-02-03 11:34:36,Concluído,2025-02-03 11:34:58,Concluído,2025-03-27 20:24:24,Concluído,2025-03-27 20:24:25,Concluído,2025-03-27 20:24:25,Concluído,2025-03-27 20:24:26,Concluído,2025-03-27 20:24:06,Concluído,2025-03-27 20:24:09,Concluído,2025-03-27 20:24:09,Concluído,2025-03-27 20:24:10,Concluído,2025-03-27 20:24:12,Concluído,2025-03-27 20:24:14,Concluído,2025-03-27 20:24:15,Concluído,2025-03-27 20:24:15,Concluído,2025-03-27 20:24:16,Não concluído,,Não concluído,,Não concluído,
39,5054d5b275df188bbc9aa39d3cfa6ad9,Concluído,2025-03-23 14:54:27,Concluído,2024-11-26 13:31:15,Concluído,2024-11-26 13:31:18,Concluído,2024-11-26 13:31:18,Não concluído,,Concluído,2024-11-26 13:31:19,Concluído,2024-11-26 13:31:19,Concluído,2024-11-26 13:31:20,Concluído,2024-11-26 13:31:20,Concluído,2024-11-26 13:31:21,Concluído,2024-11-26 13:31:22,Concluído,2024-11-26 13:31:22,Concluído,2024-12-22 21:43:40,Concluído,2024-12-22 21:43:41,Não concluído,,Não concluído,,Concluído,2024-12-22 21:43:46,Não concluído,,Concluído,2024-12-22 21:43:52,Concluído,2024-11-15 18:56:02,Concluído,2024-11-15 18:56:04,Concluído,2024-11-15 18:56:07,Concluído,2024-11-15 18:56:09,Concluído,2024-11-15 18:56:20,Concluído,2024-11-26 13:31:33,Concluído,2024-11-26 13:31:33,Concluído,2024-11-26 13:31:33,Concluído,2024-12-22 21:43:56,Concluído,2024-12-22 21:43:57,Concluído,2024-12-22 21:43:57,Concluído,2024-12-22 21:44:03,Concluído,2024-12-09 20:06:33,Concluído,2024-12-09 20:06:44,Concluído,2025-03-23 14:54:22,Concluído,2024-12-09 22:08:34,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-23 14:54:08,Concluído,2025-03-23 14:54:08,Concluído,2025-03-23 14:54:09,Concluído,2025-03-23 14:54:09,Concluído,2025-03-23 14:53:59,Concluído,2025-03-23 14:54:00,Concluído,2025-03-23 14:54:02,Concluído,2025-03-23 14:54:02,Concluído,2025-03-23 14:54:03,Concluído,2025-03-23 14:54:03,Concluído,2025-03-23 14:54:04,Concluído,2025-03-23 14:54:04,Concluído,2025-03-23 14:54:04,Não concluído,,Não concluído,,Não concluído,
40,ef76d40add2d76243a11e1f42ab166f0,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-20 18:14:00,Concluído,2024-11-20 18:13:37,Concluído,2024-11-20 18:12:59,Concluído,2024-11-20 18:12:46,Concluído,2024-11-20 18:13:01,Concluído,2024-11-20 18:28:02,Concluído,2024-11-20 18:28:00,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-20 18:28:09,Não concluído,,Concluído,2024-11-20 18:29:32,Concluído,2024-11-20 18:29:35,Concluído,2024-11-20 18:29:37,Concluído,2024-11-20 18:29:38,Concluído,2024-11-20 18:29:50,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 16:08:21,Não concluído,,Não concluído,,Concluído,2024-12-18 22:55:50,Não concluído,,Concluído,2024-12-18 23:25:31,Concluído,2025-02-06 14:23:59,Não concluído,,Concluído,2025-02-06 14:23:52,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
41,a295f698a6e337dc3a28521631173fcc,Concluído,2024-11-22 19:09:52,Concluído,2024-11-22 19:10:17,Concluído,2024-11-22 19:10:33,Concluído,2024-11-22 19:10:57,Não concluído,,Concluído,2024-11-22 19:10:36,Concluído,2024-11-22 19:10:38,Concluído,2024-11-22 19:10:59,Concluído,2024-11-22 19:11:03,Concluído,2024-11-22 19:11:06,Concluído,2024-11-22 19:11:49,Concluído,2024-11-22 19:11:42,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-14 17:10:27,Concluído,2024-11-13 19:40:25,Concluído,2024-11-14 23:23:15,Concluído,2024-11-14 23:23:17,Concluído,2024-11-14 23:23:37,Concluído,2024-11-14 23:23:25,Concluído,2024-11-14 23:23:26,Concluído,2024-11-22 19:13:25,Concluído,2024-11-22 19:13:23,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-09 11:05:45,Concluído,2024-12-10 18:51:32,Não concluído,,Não concluído,,Concluído,2025-01-31 22:04:52,Concluído,2025-01-30 23:36:13,Não concluído,,Não concluído,,Concluído,2025-03-22 11:14:24,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
42,a427ca8cc5589c815b0429e3acfc3dc9,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-21 14:00:17,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
43,ea3b5101990ff4f57b87551fcd058fd6,Concluído,2024-11-15 12:24:24,Concluído,2024-11-14 18:55:29,Concluído,2024-11-14 18:55:31,Concluído,2024-11-14 18:55:38,Não concluído,,Concluído,2024-11-14 18:55:38,Concluído,2024-11-14 18:55:40,Concluído,2024-11-14 18:55:41,Concluído,2024-11-14 18:55:42,Concluído,2024-11-14 18:55:47,Concluído,2024-11-14 18:56:26,Concluído,2024-11-14 18:57:00,Concluído,2024-11-15 12:24:38,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-14 18:58:33,Concluído,2024-11-14 18:58:30,Não concluído,,Concluído,2024-11-14 18:55:17,Concluído,2024-11-14 18:55:18,Concluído,2024-11-14 18:55:19,Concluído,2024-11-14 18:55:20,Concluído,2024-11-15 12:25:17,Concluído,2024-11-25 09:39:59,Concluído,2024-11-25 09:40:01,Concluído,2024-11-25 09:40:05,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-22 17:28:42,Concluído,2024-12-22 17:28:17,Concluído,2024-12-12 08:35:37,Concluído,2024-12-12 08:35:02,Concluído,2025-01-31 21:49:57,Concluído,2024-12-22 17:29:27,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-21 20:55:07,Concluído,2025-03-21 20:55:08,Concluído,2025-03-28 09:46:54,Concluído,2025-03-28 09:46:55,Concluído,2025-03-27 10:11:46,Concluído,2025-03-27 10:11:49,Concluído,2025-03-27 10:11:50,Concluído,2025-03-28 09:47:03,Concluído,2025-03-28 09:47:04,Concluído,2025-03-28 09:47:06,Concluído,2025-03-28 18:55:45,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
44,f21960129080c227f23dacf354d56093,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
46,e257be593331a536f5b5480403468567,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-16 12:29:37,Não concluído,,Não concluído,,Concluído,2025-02-01 08:11:50,Concluído,2025-02-01 08:11:59,Não concluído,,Concluído,2025-02-06 14:30:15,Não concluído,,Concluído,2025-02-06 14:48:50,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
47,121fb2c61337b6216bec1cd21de663a9,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-09 10:10:28,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-09 10:10:36,Não concluído,,Não concluído,,Concluído,2025-03-09 10:10:42,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
48,dd4d73fab7c6cab2a53583df2fa247df,Não concluído,,Não concluído,,Não concluído,2024-11-11 23:39:03,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-24 15:07:22,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
