Nome do recurso	Tipo	Conteúdo	Tópico	Obs	Normalized_Resource_Name
[QM-6] Questionário teórico da Seção 5.1 (prazo: 08/Jun às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-6] questionário teórico da seção 5.1 (prazo 08/jun às 2359)
[AP-5.1] Estrutura de Repetição: WHILE (aula)	AP PDF	AP	PT1		estrutura de repetição while (aula)
[AP-5.2] Estrutura de Repetição: WHILE (semana)	AP PDF	AP	PT1		estrutura de repetição while (semana)
[Cap. 5.2] Estrutura de Repetição: FOR	Aula Slides PDF	Didático	PT1		[cap. 5.2] estrutura de repetição for
[1] Introdução (7 min)	Aula Vídeo	Didático	PT1		[1] introducao (7 min)
[2] Comando FOR (24 min)	Aula Vídeo	Didático	PT1		[2] comando for (24 min)
[3] Exercício 1 (18 min)	Aula Vídeo	Didático	PT1		[3] exercício 1 (18 min)
[4] Exercício 2 (13 min)	Aula Vídeo	Didático	PT1		[4] exercício 2 (13 min)
[5] Comparando WHILE e FOR (13 min)	Aula Vídeo	Didático	PT1		[5] comparando while e for (13 min)
[6] Exercício 3 (22 min)	Aula Vídeo	Didático	PT1		[6] exercício 3 (22 min)
[QM-7] Questionário teórico da Seção 5.2 (prazo: 15/Jun às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-7] questionário teórico da seção 5.2 (prazo 15/jun às 2359)
[AP-5.3] Estrutura de Repetição: FOR (aula)	AP PDF	AP	PT1		estrutura de repetição for (aula)
[AP-5.4] Estrutura de Repetição: FOR (semana)	AP PDF	AP	PT1		[ap-5.4] estrutura de repetição for (semana)
[Cap. 5.3] Estruturas de Repetição Aninhadas	Aula Slides PDF	Didático	PT2		[cap. 5.3] estruturas de repetição aninhadas
[1] Laços aninhados (10 min)	Aula Vídeo	Didático	PT2		[1] laços aninhados (10 min)
[2] Exercício 1 (14 min)	Aula Vídeo	Didático	PT2		[2] exercício 1 (14 min)
[3] Exercício 2 (16 min)	Aula Vídeo	Didático	PT2		[3] exercício 2 (16 min)
[4] Exercício 3 (14 min)	Aula Vídeo	Didático	PT2		[4] exercício 3 (14 min)
[5] Exercício 4 (20 min)	Aula Vídeo	Didático	PT2		[5] exercício 4 (20 min)
[QM-8] Questionário teórico da Seção 5.3 (prazo: 22/jun às 23:59)	Questionário Objetivo	Avaliativo	PT2		[qm-8] questionário teórico da seção 5.3 (prazo 22/jun às 2359)
[AP-5.5] Estruturas de Repetição Aninhadas (aula)	AP PDF	AP	PT1		[ap-5.5] estruturas de repetição aninhadas (aula)
[AP-5.6] Estruturas de Repetição Aninhadas (semana)	AP PDF	AP	PT1		[ap-5.6] estruturas de repetição aninhadas (semana)
[AP-S1] Simulado da Prova Teórica Unificada 1	AP PDF	AP	PT1		[ap-s1] simulado da prova teórica unificada 1
Prova Teórica Unificada 1 (PT1)	Tarefa sem entrega	Informativo	PT1		prova teórica unificada 1 (pt1)
Link para aulas online	Link	Didático			link para aulas online
[Cap. 6] Implementação de Funções	Aula Slides PDF	Didático	PT2		[cap. 6] implementação de funções
[1] Introdução (6 min)	Aula Vídeo	Didático	PT2		[1] introducao (6 min)
[2] Definição de funções (25 min)	Aula Vídeo	Didático	PT2		[2] definição de funções
[3] Chamada de funções (29 min)	Aula Vídeo	Didático	PT2		[3] chamada de funções
[4] Escopo de variáveis (14 min)	Aula Vídeo	Didático	PT2		[4] escopo de variáveis (14 min)
[6] Função sem retorno (10 min)	Aula Vídeo	Didático	PT2		[6] função sem retorno (10 min)
[7] Retorno de vários valores (29 min)	Aula Vídeo	Didático	PT2		[7] retorno de vários valores
[QM-9] Questionário teórico do Capítulo 6 (prazo: 13/Jul às 23:59)	Questionário Objetivo	Avaliativo	PT2		[qm-9] questionário teórico do capítulo 6 (prazo 13/jul às 2359)
[AP-6.1] Implementação de Funções (aula)	AP PDF	AP	PT2		implementação de funções (aula)
[AP-6.2] Implementação de Funções (semana)	AP PDF	AP	PT2		implementação de funções (semana)
[AP-6.3] Implementação de Funções (aula)	AP PDF	AP	PT2		[ap-6.3] implementação de funções (aula)
[AP-6.4] Implementação de Funções (semana)	AP PDF	AP	PT2		[ap-6.4] implementação de funções (semana)
Biblioteca padrão para Vetores e Matrizes	Código Python	Didático	PT2		biblioteca padrão para vetores e matrizes
[Cap. 7.1] Estruturas Homogêneas: VETOR	Aula Slides PDF	Didático	PT2		[cap. 7.1] estruturas homogêneas vetor
[1] Conceito (14 min)	Aula Vídeo	Didático	PT2		[1] conceito (14 min)
[2.1] Sintaxe (2 min)	Aula Vídeo	Didático	PT2		[2.1] sintaxe (2 min)
[2.2] Criar vetores por atribuição (11 min)	Aula Vídeo	Didático	PT2		[2.2] criar vetores por atribuição (11 min)
[2.3] Ler e modificar elementos (10 min)	Aula Vídeo	Didático	PT2		[2.3] ler e modificar elementos (10 min)
[2.4] Inserir elementos (4 min)	Aula Vídeo	Didático	PT2		[2.4] inserir elementos (4 min)
[2.5] Remover elementos (5 min)	Aula Vídeo	Didático	PT2		[2.5] remover elementos (5 min)
[2.6] Descobrir a dimensão (5 min)	Aula Vídeo	Didático	PT2		[2.6] descobrir a dimensão (5 min)
[2.7] Percorrer elementos (15 min)	Aula Vídeo	Didático	PT2		[2.7] percorrer elementos (15 min)
[3] Exercício 1 (12 min)	Aula Vídeo	Didático	PT2		[3] exercício 1 (12 min)
[4] Exercício 2 (32 min)	Aula Vídeo	Didático	PT2		[4] exercício 2 (32 min)
[5] Exercício 3 (28 min)	Aula Vídeo	Didático	PT2		[5] exercício 3 (28 min)
[6] Funções úteis (28 min)	Aula Vídeo	Didático	PT2		[6] funções úteis (28 min)
[7] Exercício 4 (27 min)	Aula Vídeo	Didático	PT2		[7] exercício 4 (27 min)
[QM-10] Questionário teórico do Capítulo 7: VETOR (prazo: 03/Ago às 23:59)	Questionário Objetivo	Avaliativo	PT2		[qm-10] questionário teórico do capítulo 7 vetor (prazo 03/ago às 2359)
[AP-7.1] Estrutura Homogênea - VETOR (aula)	AP PDF	AP	PT2		estrutura homogênea - vetor (aula)
[AP-7.2] Estrutura Homogênea - VETOR (semana)	AP PDF	AP	PT2		estrutura homogênea - vetor (semana)
[AP-7.3] Estrutura Homogênea - VETOR (aula)	AP PDF	AP	PT2		estrutura homogênea - vetor (aula)
[AP-7.4] Estrutura Homogênea - VETOR (semana)	AP PDF	AP	PT2		estrutura homogênea - vetor (semana)
[Cap. 7.2] Estruturas Homogêneas: MATRIZ	Aula Slides PDF	Didático	PT2		[cap. 7.2] estruturas homogêneas matriz
[1] Conceito (5 min)	Aula Vídeo	Didático	PT2		[1] conceito (5 min)
[2] Sintaxe e operações (25 min)	Aula Vídeo	Didático	PT2		[2] sintaxe e operações
[3] Exercício 1 (28 min)	Aula Vídeo	Didático	PT2		[3] exercício 1 (28 min)
[4] Funções úteis (21 min)	Aula Vídeo	Didático	PT2		[4] funções úteis (21 min)
[5] Exercício 2 (34 min)	Aula Vídeo	Didático	PT2		[5] exercício 2 (34 min)
[QM-11] Questionário teórico do Capítulo 7: MATRIZ (prazo: 10/Ago às 23:59)	Questionário Objetivo	Avaliativo	PT2		[qm-11] questionário teórico do capítulo 7 matriz (prazo 10/ago às 2359)
[AP-7.5] Estrutura Homogênea - MATRIZ (aula)	AP PDF	AP	PT2		[ap-7.5] estrutura homogênea - matriz (aula)
[AP-7.6] Estrutura Homogênea - MATRIZ (semana)	AP PDF	AP	PT2		[ap-7.6] estrutura homogênea - matriz (semana)
[AP-7.7] Estrutura Homogênea - MATRIZ (aula)	AP PDF	AP	PT2		[ap-7.7] estrutura homogênea - matriz (aula)
[AP-7.8] Estrutura Homogênea - MATRIZ (semana)	AP PDF	AP	PT2		[ap-7.8] estrutura homogênea - matriz (semana)
[AP-S2] Simulado da Prova Teórica Unificada 2	AP PDF	AP	PT2		[ap-s2] simulado da prova teórica unificada 2
Prova Teórica Unificada 2 (PT2)	Tarefa sem entrega	Informativo	PT2		prova teórica unificada 2 (pt2)
Procedimentos para aplicação da avaliação	PDF	Informativo	PT2		procedimentos para aplicação da avaliação
PT2 - Gabarito e Critérios de Correção	PDF	Informativo	PT2		pt2 - gabarito e critérios de correção
[Cap. 8] Estruturas Heterogêneas: REGISTRO	Aula Slides PDF	Didático	Geral		[cap. 8] estruturas heterogêneas registro
[1] Definição e sintaxe básica (23 min)	Aula Vídeo	Didático	Geral		[1] definição e sintaxe básica (23 min)
[2] Vetores e matrizes de registros (11 min)	Aula Vídeo	Didático	Geral		[2] vetores e matrizes de registros (11 min)
[3] Registros como argumento ou retorno de função (8 min)	Aula Vídeo	Didático	Geral		[3] registros como argumento ou retorno de função (8 min)
[4] Exercício 1 (20 min)	Aula Vídeo	Didático	Geral		[4] exercício 1 (20 min)
[QM-12] Questionário teórico do Capítulo 8: REGISTRO (prazo: 29/08 às 23:59)	Questionário Objetivo	Avaliativo	Geral		[qm-12] questionário teórico do capítulo 8 registro (prazo 29/08 às 2359)
[AP-8] Estruturas Heterogêneas - REGISTRO	AP PDF	AP	PT2		estruturas heterogêneas - registro
Exames Especiais (EE)	Tarefa sem entrega	Informativo	Geral		exames especiais (ee)
