id_aluno,sexo,data_nascimento,turma,ac1,pt1,ac2,pt2,cod_curso,media_final,exame_especial,faltas,obs,professor
6a125b036d575d44f635f2103c1bbb9a,F,07/04/2005,15,"9,80",,"9,90","10,00",AMB,5.9,10.0,3,APROV,P03
dc7e72d7ff282d509ddd254da0b2e2c2,F,21/02/2006,21,"6,80","1,20","2,30","0,50",AMB,1.6,,22,REPRV,P10
3e4b0141a77f9e453fb0caf8b83b1dba,F,13/08/2005,15,"8,00","4,90","4,90","3,30",AMB,4.7,4.7,25,REPRV,P03
5fef016cf39f0d5077ef3461ac360bdb,F,05/01/2006,15,"6,70","7,20","0,30","1,30",AMB,4.1,4.1,25,REPRV,P03
95ecb78887f27c05cfa61a9980ad1aea,F,23/02/2006,16,"8,90","4,10","9,00","3,20",AMB,4.8,4.8,22,REPRV,P03
8b376cf38719b2fff37d3885f98c30a9,M,10/10/2005,15,"10,00","5,00","10,00","9,60",AMB,8.3,,3,APROV,P03
a8235a92fe213205ab314615fe947c32,M,14/11/2005,15,"6,20","0,00","0,50","4,50",AMB,2.5,2.5,14,REPRV,P03
210aa6fdc994d63fb70167ca37c2701a,M,15/01/2004,15,"8,70","3,60","9,70",,AMB,3.4,3.4,17,REPRV,P03
f3183b13285d7ddad896f155c43d3f34,M,01/05/2005,15,"7,20","0,30","1,40",,AMB,1.0,,25,REPRV,P03
97aea01f39f9325a2b33448704a4ae71,F,06/02/2006,16,"9,90","9,30","9,50","2,90",AMB,6.9,,11,APROV,P03
19af285c439fa0a36e1b679d93eee260,M,13/09/2006,16,"10,00","9,00","10,00","10,00",CIV,10.0,,3,APROV,P03
0c21964c5b502174c4cbc5152a9d3608,M,01/06/2003,6,"9,20","9,30","10,00","10,00",AMB,10.0,,6,APROV,P06
0808082f6ac55fa8f8ea8a8db775c39a,F,01/01/1994,15,"3,30",,"7,80",,AMB,1.2,,39,REPRV,P03
9a8721d6eebc8788b7caca322a1e8fd8,F,18/10/1996,5,"9,10","5,00","10,00",,AMB,6.4,,8,APROV,P06
84a9d8e03e91e17929edb15a764894d0,M,31/03/2007,10,"9,11","9,50","6,03","0,00",AUT,5.3,9.4,0,APROV,P07
6cb62ea594dbbab4c471e302c7e02271,M,04/08/2004,10,"8,75","9,40","6,40","9,60",AUT,9.1,,0,APROV,P07
67d66fdcb3aa137cc0cc15a62f6869c6,M,22/02/2007,10,"8,65","8,80","7,45","0,00",AUT,5.1,7.7,17,APROV,P07
f14c853eff8eb76748ac00b413d12992,F,05/10/2001,5,"1,00",,,,GEO,0.1,,47,REPRV,P06
780679b411c4773dbded369033103da5,M,20/02/2004,10,"9,72","9,90","10,00","10,00",AUT,10.0,,0,APROV,P07
352016a1587ab196bf089bf717527769,M,31/08/2005,10,"8,68","9,00","9,25","10,00",AUT,9.4,,0,APROV,P07
2f5f2f608def5ab753c2d6c94f69c40a,M,19/07/2006,10,"7,85","9,70","8,76","9,70",AUT,9.4,,0,APROV,P07
c7da6e41c1009721055152b91d1407c2,M,29/07/2007,10,"8,36","9,30","8,65","8,60",AUT,8.9,,0,APROV,P07
644c4ab8304ed6fa67912dc53cd6c22e,M,21/01/2007,10,"8,89","9,70","2,00","7,60",AUT,8.0,,0,APROV,P07
fecbd900ee856c9c37172814100711f0,M,24/07/2006,10,"5,51","8,50","5,17","6,50",AUT,7.1,,0,APROV,P07
